85	18	0	1	
87	18		1	0
89	18	1	2	
91	18		2	0
93	18	2	3	
95	18		3	0
97	3	0	4	
99	3		4	0,0,0
101	3	1	5	
103	3		5	0,0,0
105	3	2	6	
107	3		6	0,0,0
109	3	3	7	
111	3		7	0,0,0
113	3	4	8	
115	3		8	0,0,0
117	3	5	9	
119	3		9	0,0,0
121	3	6	10	
123	3		10	0,0,0
125	3	7	11	
127	3		11	0,0,0
129	3	8	12	
131	3		12	0,0,0
133	0	3	13	
135	0		13	0
137	0	3	14	
139	0		14	0
141	0	4	15	
143	0		15	0
145	0	4	16	
147	0		16	0
149	0	5	17	
151	0		17	0
153	0	5	18	
155	0		18	0
157	0	6	19	
159	0		19	0
161	0	6	20	
163	0		20	0
165	0	7	21	
167	0		21	0
169	0	7	22	
171	0		22	0
173	1	4	23	
177	1		23	0
179	1	5	24	
182	1		24	0
184	1	6	25	
187	1		25	0
189	1	7	26	
192	1		26	0,0
194	1	8	27	
197	1		27	0,0
199	1	9	28	
202	1		28	0,0
204	1	10	29	
207	1		29	0,0
209	1	11	30	
212	1		30	0,0
214	0	3	31	
216	18	2	32	
218	18		32	0
